Estado,escolas_publicas,escolas_federais,escolas_estaduais,escolas_municipais,escolas_privadas,total_escolas
Acre,1613,7,668,938,46,1659
Alagoas,2864,17,326,2521,601,3465
Amapá,844,6,402,436,109,953
Amazonas,5755,18,793,4944,426,6181
Bahia,16301,37,1140,15124,3320,19621
Ceará,7762,35,779,6948,2387,10149
"Distrito Federal",722,11,711,0,638,1360
"Espírito Santo",3282,23,582,2677,688,3970
Goiás,3676,27,1000,2649,1350,5026
Maranhão,12074,31,1314,10729,1425,13499
"Mato Grosso",2659,19,827,1813,532,3191
"Mato Grosso do Sul",1396,11,363,1022,560,1956
"Minas Gerais",17266,81,4233,12952,6670,23936
Pará,10847,23,1110,9714,1001,11848
Paraíba,4357,26,667,3664,968,5325
Paraná,7633,30,2141,5462,2389,10022
Pernambuco,6835,26,1089,5720,3101,9936
Piauí,5127,23,747,4357,505,5632
"Rio de Janeiro",7889,68,1453,6368,5315,13204
"Rio Grande do Norte",3808,30,825,2953,1130,4938
"Rio Grande do Sul",8195,50,2485,5660,3067,11262
Rondônia,1212,10,416,786,212,1424
Roraima,906,7,404,495,52,958
"Santa Catarina",5671,39,1371,4261,1749,7420
"São Paulo",20535,47,6526,13962,13328,33863
Sergipe,1814,11,321,1482,675,2489
Tocantins,1934,11,561,1362,324,2258
